City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Lompoc,US,87.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
134,Tura,IN,73.69,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
137,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
139,Touros,BR,80.33,light rain,-5.1989,-35.4608,INN NEW HORIZON
141,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
142,Maxixe,MZ,73.4,broken clouds,-23.8597,35.3472,Oceano
144,Rafaela,AR,75.99,overcast clouds,-31.2503,-61.4867,Parra Hotel & Suites
149,Sola,VU,82.22,overcast clouds,-13.8833,167.55,Leumerus Bungalows
150,Male,MV,81.99,clear sky,4.1748,73.5089,Hotel Octave Maldives
151,La Libertad,EC,83.86,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
152,Prattville,US,80.11,overcast clouds,32.464,-86.4597,InTown Suites Extended Stay Prattville AL
155,Bara,NG,85.91,broken clouds,10.3744,10.7288,
158,Kapaa,US,71.92,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
159,Muana,BR,75.76,light rain,-1.5283,-49.2167,Pousada Bella do Marajó
161,Lere,NG,81.77,broken clouds,10.387,8.5726,
162,San Policarpo,PH,79.7,broken clouds,12.1791,125.5072,Agapita M. Nicart
163,El Alto,PE,80.26,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
168,Parrita,CR,85.91,broken clouds,9.5201,-84.3225,Beso del Viento
171,Inirida,CO,85.44,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
172,Basoko,CD,71.83,overcast clouds,1.2391,23.616,Jackyna Hotel
173,San Patricio,US,82.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
175,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
177,Sorong,ID,78.49,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
178,Zacatecoluca,SV,90.23,broken clouds,13.5,-88.8667,Hotel Tropical
179,Puerto Ayora,EC,85.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
180,Kant,IN,73.09,clear sky,27.8,79.8,Haseeb Khan shatreng
181,Sijunjung,ID,71.08,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
183,Pasighat,IN,72.7,scattered clouds,28.0667,95.3333,Siang Guest House
184,Meiganga,CM,71.73,overcast clouds,6.5167,14.3,DFR HOUSE
185,Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
194,Clearwater,US,89.17,clear sky,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
198,Grants Pass,US,72.28,clear sky,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
199,Santiago De Cao,PE,73.53,few clouds,-7.9589,-79.2392,Villa Konecta - Casa de vacaciones
202,Hambantota,LK,78.62,broken clouds,6.1241,81.1185,Bungalow 63
203,Mogadishu,SO,79.16,clear sky,2.0371,45.3438,Hotel Juba
206,Pemba,MZ,81.3,broken clouds,-12.974,40.5178,Guesthouse Samotina
208,Paramonga,PE,73.29,few clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
209,Riyadh,SA,71.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
212,Phuntsholing,BT,74.35,broken clouds,26.8516,89.3884,Hotel White House
213,Samana,DO,82.62,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
214,Doha,QA,73.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
215,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
216,Pacatuba,BR,79.47,light rain,-3.9842,-38.6203,Pousada das Andreias
217,Makakilo City,US,77.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
218,Goundi,TD,89.38,overcast clouds,9.3627,17.366,
220,Mapiri,BO,77.38,broken clouds,-15.25,-68.1667,
222,San Alberto,CO,89.73,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
223,Barra Do Garcas,BR,79.32,broken clouds,-15.89,-52.2567,Pousada Tropical
224,Petersburg,US,76.77,clear sky,37.2279,-77.4019,Hilton Garden Inn Richmond South/Southpark
226,Katherine,AU,77.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
227,Havelock,US,71.98,scattered clouds,34.8791,-76.9013,Sherwood Motel
235,Wanning,CN,76.08,overcast clouds,18.8003,110.3967,Paradise Hotel
236,Kidal,ML,80.62,clear sky,18.4411,1.4078,
240,Santarem,BR,86.13,scattered clouds,-2.4431,-54.7083,Hotel Imperador
245,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
247,Luganville,VU,79.56,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
249,Sarangani,PH,82.29,overcast clouds,5.4033,125.4636,Ballistic Islet
